上市電零組,上市紡織,上市汽車,上市化學生醫,上市金融,上市鋼鐵,上市航運,上市電器電纜,上市水泥,上市油電燃氣,上市造紙,上市營建,上市數位雲端,上市生技醫療,上市資訊服務,上市塑膠,上市電腦週邊,上市觀光,上市化學,上市居家生活,上市電子通路,上市電機,上市通信網路,上市電子,上市貿易百貨,上市橡膠,上市上市其它電子,上市綠能環保,上市光電,上市食品,上市其他,上市半導體,上市海外上市,上市玻璃,上市運動休閒,上櫃運動休閒,上櫃鋼鐵,上櫃其它電子,上櫃電機,上櫃電子通路,上櫃半導體,上櫃化工,上櫃電零組,上櫃食品,上櫃光電,上櫃數位雲端,上櫃其他,上櫃航運,上櫃紡織,上櫃居家生活,上櫃油電燃氣,上櫃農業科技業,上櫃文創類,上櫃金融,上櫃電器電纜,上櫃資訊服務,上櫃電腦週邊,上櫃觀光,上櫃綠能環保,上櫃生技醫療,上櫃營建,上櫃塑膠,上櫃通信網路,興櫃食品工業,興櫃電腦及週邊設備業,興櫃運動休閒,興櫃通信網路業,興櫃文化創意業,興櫃綠能環保,興櫃生技醫療業,興櫃紡織纖維,興櫃半導體業,興櫃電子通路業,興櫃航運業,興櫃鋼鐵工業,興櫃其他電子業,興櫃金融業,興櫃農業科技業,興櫃數位雲端,興櫃化學工業,興櫃光電業,興櫃電機機械,興櫃電子零組件業,興櫃建材營造,興櫃資訊服務業,興櫃其他,興櫃觀光事業,興櫃居家生活,興櫃油電燃氣業,網通設備組件,工業電腦,電腦週邊配件,手機相關,其他零組件,LED,IC設計服務,被動元件,主機板,PC/NB/平板,軟體設計,電子設備買賣,電信服務,其他電子或零件,其他網通,其他電腦週邊,消費電子或電器,太陽能,PCB,電子連接相關,IC生產製造,電池或電源,遊戲軟體,光電設備,組裝代工,其他光電,安全監控,電子組件買賣,機殼,網站經營/電商,3C賣場,設備或廠務工程,系統整合,面板業,USBTypeC,十一長假概念股,日圓貶值,iPad Air,智慧衣,洗腎,離岸風電概念股,人民幣貶值,車用電子,AMOLED,水資源,不斷電限電,富櫃50,Fun暑假,胎壓偵測器,車用2.0,PS5,智慧城市,日圓升值,智慧音箱,工業4.0,Macbook供應鏈,矽晶圓,雙鏡頭,宅經濟,光棍節,機器人,運動休閒,Apple iTV,一帶一路,台幣貶值,臺灣上櫃永續指數,特選上櫃ESG龍頭報酬指數,TPEx FactSet半導體氣候淨零優選報酬指數,櫃買薪酬指數,特選上櫃ESG永續高股息報酬指數,TPEx FactSet氣候韌性指數,高殖利率指數,富櫃200成分股,特選上櫃ESG成長報酬指數,Quality 50指數,櫃買公司治理指數,TPEx FactSet半導體氣候韌性指數,櫃買就業88指數,上櫃ESG 30指數,櫃買半導體領航報酬指數,富櫃50成分股,
新巨2420,年興1451,車王電1533,三福化4755,第一保2852,大成鋼2027,四維航5608,,,,,宏普2536,,麗豐-KY4137,,,振樺電8114,,花仙子1730,,,羅昇8374,展達3447,帆宣6196,,,云辰2390,富威電力6994,,立萬利3054,福貞-KY8411,盛群6202,百達-KY2236,,,,,大拓-KY8455,高鋒4510,,家碩6953,,僑威3078,,勝品6556,美而快5321,光隆8916,,,,,,大宇資6111,,,普鴻6590,曜越3540,漢來美食1268,,長佳智能6841,大城地產6171,,凱碩8059,,,,,,禾迅綠電7897,醣基6586,,耀穎7772,,,,,,,,,,,,,,,,,,居易6216,新漢8234,樺緯物聯7455,,新日興3376,湯石照明4972,巨有科技8227,立敦6175,,,,,,光群雷2461,,,,統懋2434,宇環3276,驊陞6272,台亞2340,飛宏2457,,群翊6664,,,,威健3033,,,,川寶1595,三商電2427,華凌6916,,大洋-KY5907,欣銓3264,華通2313,,富邦媒8454,東元1504,閎暉3311,緯創3231,,旭然4556,,寶雅5904,,,,,啟碁6285,晟田4541,英業達2356,桂盟5306,鴻海2317,,,智冠5478,富邦媒8454,宏碁2353,聚陽1477,,中菲行5609,國巨*2327,,,,良維6290,,千附精密6829,寶雅5904,千附精密6829,,順達3211,寶雅5904,原相3227,均豪5443,,,寶雅5904,
建準2421,利華1423,IKKA-KY2250,元禎1725,台新新光庚特一2887G,官田鋼2017,萬海2615,,,,,欣巴巴9906,,向榮生技6794,,,華碩2357,,永記1726,,,中宇1535,譁裕3419,文曄3036,,,連宇2482,,,福懋油1225,jpp-KY5284,昇陽半導體8028,裕慶-KY6957,,,,,西柏3541,榮田7709,,群聯8299,,鴻呈6913,,富晶通3623,,大地-KY8437,,,,,,樂意7584,,,松崗6240,茂訊3213,雅茗-KY2726,,大江8436,豐謙5523,,常珵8097,,,,,,德揚7846,朗齊生醫*6876,,登豐7872,,,,,,,,,,,,,,,,,,啟碁6285,倫飛2364,科誠4987,,佐臻4980,麗清3346,瑞昱2379,鈞寶6155,,,,,,進泰電子3465,,,,亞力1514,晟鈦3229,建通2460,瑞耘6532,保銳8093,,旭東4537,,,,好德3114,,,,宇辰系統7813,天剛5310,全台3038,,安心1259,鑽全1527,台表科6278,,美而快5321,合騏8937,鉅祥2476,瑞昱2379,,華懋5292,,頎邦6147,,,,,三商電2427,普安2495,中華電2412,廣明6188,濱川1569,,,廣達2382,美而快5321,裕隆2201,鈺齊-KY9802,,兆豐金2886,和大1536,,,,永信建5508,,信立4303,頎邦6147,信立4303,,新普6121,頎邦6147,合晶6182,岱稜3303,,,頎邦6147,
日電貿3090,弘裕1474,廣華-KY1338,和桐1714,台新新光辛特2887I,三星5007,陽明2609,,,,,華友聯1436,,康霈*6919,,,光寶科2301,,中碳1723,,,高林股1531,神腦2450,欣興3037,,,美隆電2477,,,,百和9938,晶心科6533,淘帝-KY2929,,,,,橙的4554,皇田9951,,廣穎4973,,富喬1815,,久禾光6498,,冠好8354,,,,,,泰偉3064,,,大塚3570,東碩3272,力麗店5364,,馬光-KY4139,台鋼建設3521,,是方6561,,,,,,環拓科技7507,台睿6580,,智微4925,,,,,,,,,,,,,,,,,,波若威3163,AMAX-KY6933,寶德3349,,協益5356,一詮2486,驊訊6237,天二科技6834,,,,,,富致6642,,,,進能服6692,志超8213,胡連6279,創見2451,環科2413,,惠特6706,,,,華立3010,,,,龍翩5267,寶碩5210,TPK-KY3673,,夏都2722,正新2105,康舒6282,,台驊控股2636,台達電2308,台達電2308,車王電1533,,裕山7715,,廣明6188,,,,,華電網6163,力山1515,矽力*-KY6415,桓達4549,宣德5457,,,網家8044,台驊控股2636,凌陽2401,美利達9914,,永豐金2890,程泰1583,,,,中美晶5483,,宜鼎5289,台星科3265,宜鼎5289,,東洋4105,大國鋼8415,IET-KY4971,中美晶5483,,,廣明6188,
環科2413,南染1410,虎山7736,神隆1789,三商壽2867,中鋼2002,台灣虎航6757,,,,,新建2516,,五鼎1733,,,仁寶2324,,台肥1722,,,錩泰1541,中磊5388,義隆2458,,,所羅門2359,,,,潤泰新9945,十銓4967,冠星-KY4439,,,,,精星8183,駿吉-KY1591,,漢磊3707,,松上6156,,保勝光學6517,,益張8342,,,,,,,,,中菲5403,全譜6228,瓦城2729,,商之器8409,理銘6212,,榮群8034,,,,,,,晶鑽生醫6815,,科建7886,,,,,,,,,,,,,,,,,,盛達3027,精聯3652,同亨5490,,皇龍3512,全新2455,揚智3041,千如3236,,,,,,科風3043,,,,達能3686,霖宏5464,良得電2462,同欣電6271,聚和6509,,,,,,倍微6270,,,,廣化5297,晉泰6221,晶達4995,,六福2705,長榮航2618,臻鼎-KY4958,,聚陽1477,永崴投控3712,巨大9921,錼創科技-KY創6854,,萬年清6624,,順達3211,,,,,安勤3479,鑽全1527,鴻海2317,新漢8234,華通2313,,,華義3086,聚陽1477,廣明6188,岱宇1598,,春雨2012,巨大9921,,,,茂綸6227,,兆利3548,廣明6188,兆利3548,,大江8436,生泰1777,宏碩系統6895,由田3455,,,順達3211,
富世達6805,宏益1452,巧新1563,雃博4106,合庫金5880,燁輝2023,,,,,,櫻花建2539,,邦睿生技-創6955,,,宏碁2353,,東鹼1708,,,穎漢4562,中華電2412,華立3010,,,安普新6743,,,,政伸8481,茂矽2342,光麗-KY6431,,,,,三聯5493,崇友4506,,宏觀6568,,信昌電6173,,單井3490,,潤德6881,,,,,,,,,上奇6123,聰泰5474,宏易4530,,大學光3218,瑞築6198,,互動6486,,,,,,,博研醫藥7891,,慶康科技8098,,,,,,,,,,,,,,,,,,智通聯網3473,緯穎6669,群光2385,,谷崧3607,艾笛森3591,創意3443,興勤2428,,,,,,輝創6722,,,,茂矽2342,育富6194,松普5488,均豪5443,首利1471,,,,,,堡達3537,,,,亞泰金屬6727,敦陽科2480,久正6167,,長榮航2618,中華2204,明安8938,,志信2611,信邦3023,劍麟2228,立隆電2472,,,,新普6121,,,,,宏碁2353,大立光3008,台積電2330,精聯3652,台表科6278,,,富邦媒8454,志信2611,新漢8234,巨大9921,,南亞1303,劍麟2228,,,,雙鴻3324,,精確3162,順達3211,精確3162,,茂達6138,全家5903,頎邦6147,漢科3402,,,新普6121,
聯德控股-KY4912,台富1454,瑞利1512,懷特4108,永豐金2890,盛餘2029,,,,,,大將1453,,杏輝1734,,,動力-KY6591,,,,,鈞興-KY4571,富爾特6136,華邦電2344,,,漢平2488,,,,海悅2348,台亞2340,基士德-KY6641,,,,,天正國際6654,新麥1580,,環球晶6488,,系統電5309,,立軒6222,,中連5604,,,,,,,,,凱衛5201,同亨5490,全家餐飲7708,,軒郁6703,富宇4907,,易通展6241,,,,,,,永立榮6973,,廣化5297,,,,,,,,,,,,,,,,,,台林5353,東擎科技7710,捷波6161,,安力-KY5223,光鋐4956,聯陽3014,大毅2478,,,,,,固緯2423,,,,中釉1809,相互6407,宏致3605,錼創科技-KY創6854,格斯科技*6940,,,,,,光菱8032,,,,家碩6953,程曦資訊6898,光聯5315,,麗嬰房2911,建大2106,鼎炫-KY8499,,統一超2912,華城1519,聯合再生3576,界霖5285,,,,榮剛5009,,,,,事欣科4916,合晶6182,聯發科2454,氣立4555,康舒6282,,,中華電2412,統一超2912,聯詠3034,愛爾達-創8487,,玉山金2884,豐泰9910,,,,威剛3260,,綠界科技*6763,新普6121,綠界科技*6763,,優群3217,龍巖5530,台星科3265,欣銓3264,,,榮剛5009,
松川精密7788,昶和1468,大億1521,中化生1762,中信金乙特2891B,中鋼特2002A,,,,,,長虹5534,,晉弘6796,,,AMAX-KY6933,,,,,勤美1532,眾達-KY4977,華東8110,,,科風3043,,,,海悅甲特2348A,矽格6257,大洋-KY5907,,,,,岱稜3303,長佳4550,,億而得6423,,岳豐6220,,光聯5315,,裕國8905,,,,,,,,,寶碩5210,廣積8050,安心1259,,奈米醫材6612,鉅陞5529,,宇智6470,,,,,,,普生4117,,,,,,,,,,,,,,,,,,,,稜研科技*7812,泓格3577,東碩3272,,崇越電3388,立碁8111,世芯-KY3661,雷科6207,,,,,,怡利電2497,,,,聚恆4582,圓裕6835,優群3217,菱生2369,加百裕3323,,,,,,華豫寧6474,,,,千附8383,凌群2453,茂林-KY4935,,聯強2347,裕隆2201,日月光投控3711,,國泰金2882,裕民2606,欣興3037,順德2351,,,,台燿6274,,,,,中保科9917,光隆8916,信音6126,安馳3528,臻鼎-KY4958,,,台驊控股2636,國泰金2882,新保9925,民盛7811,,中信金2891,,,,,橘子6180,,環宇-KY4991,榮剛5009,環宇-KY4991,,崑鼎6803,新普6121,創惟6104,臺慶科3357,,,台燿6274,
楠梓電2316,宏和1446,裕日車2227,佳醫4104,中信金丙特2891C,高興昌2008,,,,,,愛山林2540,,神隆1789,,,廣達2382,,,,,鑽全1527,永道-KY6863,亞翔6139,,,光群雷2461,,,,信義9940,凌陽2401,ABC-KY6598,,,,,全域3067,龍鋒3226,,精材3374,,博智8155,,京晨科6419,,世紀*5314,,,,,,,,,海柏特6884,營邦3693,大略-KY4804,,順藥6535,三豐5514,,台林5353,,,,,,,瀚醫生技6999,,,,,,,,,,,,,,,,,,,,鋐寶科技6674,神基3005,聰泰5474,,英濟3294,泰谷3339,佑華8024,今展科6432,,,,,,福華8085,,,,泓德能源6873,慶生6210,艾恩特3646,強茂2481,新巨2420,,,,,,映興3597,,,,宏碩系統6895,大綜3147,創為精密6899,,金麗-KY8429,東台4526,,,,君帆4584,亞德客-KY1590,鑫創3259,,,,穩懋3105,,,,,台灣大3045,瑞軒2489,立積4968,廣達2382,建準2421,,,統一超2912,,佳世達2352,明安8938,,台船2208,,,,,健喬4114,,台特化4772,創惟6104,台特化4772,,台燿6274,榮剛5009,茂達6138,生展8279,,,穩懋3105,
廣宇2328,宜進1457,英利-KY2239,葡萄王1707,富邦金丙特2881C,東明-KY5538,,,,,,基泰2538,,ABC-KY6598,,,麗臺2465,,,,,日馳1526,閎暉3311,創見2451,,,達明4585,,,,中保科9917,迅杰6243,廣華-KY1338,,,,,啟發電6512,瀧澤科6609,,中美晶5483,,湧德3689,,邑錡7402,,亞通6179,,,,,,,,,凌網5212,廣寰科3287,洛碁8077,,基亞3176,三圓4416,,研勤3632,,,,,,,原創生醫6483,,,,,,,,,,,,,,,,,,,,智捷8176,威強電3022,加百裕3323,,元山6275,,鑫創3259,華容5328,,,,,,東研信超6840,,,,新晶投控3713,泰鼎-KY4927,貝爾威勒7861,中美晶5483,僑威3078,,,,,,至上8112,,,,政美應用7853,上奇6123,正達3149,,第一店2706,桂盟5306,,,,永冠-KY1589,豐泰9910,笙泉3122,,,,元太8069,,,,,磐儀3594,禾伸堂3026,鈺創5351,英業達2356,鼎炫-KY8499,,,鴻準2354,,雷虎8033,豐泰9910,,崇友4506,,,,,凌陽創新5236,,高端疫苗6547,閎康3587,高端疫苗6547,,元太8069,東洋4105,神盾6462,威剛3260,,,元太8069,
力銘3593,強盛新1463,三陽工業2206,生達1720,新產2850,,,,,,,遠雄5522,,青松健康6931,,,建碁3046,,,,,全球傳動4540,居易6216,貿聯-KY3665,,,敦吉2459,,,,泰銘9927,力積電6770,科嘉-KY5215,,,,,建暐8092,大詠城4538,,博士旺3555,,光頡3624,,天鉞電5251,,馥鴻5345,,,,,,,,,,新漢8234,,,健喬4114,,,統振6170,,,,,,,因華4172,,,,,,,,,,,,,,,,,,,,合勤控3704,維田6570,毅嘉2402,,安碁6174,,鈺寶-創3150,,,,,,,耕興6146,,,,台達電2308,佳總5355,信音6126,暉盛-創7730,三一東林3609,,,,,,三顧3224,,,,濾能6823,藍新資訊6938,星亞7753,,中菲行5609,華航2610,,,,,,啟碁6285,,,,僑威3078,,,,,新漢8234,復盛應用6670,,晶焱6411,,,,夠麻吉8472,,氣立4555,,,鴻海2317,,,,,安勤3479,,凱崴5498,朋億*6613,凱崴5498,,僑威3078,閎康3587,穩懋3105,亞洲藏壽司2754,,,僑威3078,
銘鈺4545,宏洲1413,堤維西甲特1522A,美吾華1731,台新新光戊特一2887E,,,,,,,國建2501,,雃博4106,,,緯創3231,,,,,正道1506,台揚2314,聯德3308,,,震旦行2373,,,,宏全9939,天虹6937,佐登-KY4190,,,,,美達科技6735,嘉鋼2067,,宏碩系統6895,,建舜電3322,,先進光3362,,伯鑫6904,,,,,,,,,,伍豐8076,,,佑全6929,,,台聯電4905,,,,,,,祥翊6676,,,,,,,,,,,,,,,,,,,,威潤6465,普達系統6599,撼訊6150,,日揚6208,,一元素6842,,,,,,,世禾3551,,,,倉和6538,晟楠3631,詠昇6418,界霖5285,榮炭6555,,,,,,擎亞8096,,,,朋億*6613,安碁資訊6690,久威6114,,佳格1227,易飛網2734,,,,,,昇銳3128,,,,環球晶6488,,,,,營邦3693,華晶科3059,,智原3035,,,,傳奇4994,,廣達2382,,,台驊控股2636,,,,,原相3227,,印能科技7734,精華1565,印能科技7734,,長聖6712,朋億*6613,翔名8091,宏捷科8086,,,環球晶6488,
瀚荃8103,集盛1455,江申1525,興農1712,高雄銀2836,,,,,,,潤隆1808,,懷特4108,,,承啟2425,,,,,利奇1517,隴華2424,仲琦2419,,,聯策6658,,,,大豐電6184,世芯-KY3661,力達-KY4552,,,,,晉倫6151,力肯1570,,茂達6138,,凡甲3526,,晶達4995,,樂威科-KY4154,,,,,,,,,,鑫聯大投控3709,,,博晟生醫6733,,,波若威3163,,,,,,,訊聯智藥7808,,,,,,,,,,,,,,,,,,,,榮昌3684,友通2397,昆盈2365,,富榮綱3115,,雅特力-KY6907,,,,,,,橙的4554,,,,寶晶能源*6987,榮惠-KY創6924,宣德5457,順德2351,興能高6558,,,,,,,,,,漢唐2404,三竹8284,晶采8049,,全家5903,大億1521,,,,,,原相3227,,,,世界5347,,,,,威盛2388,力成6239,,泓格3577,,,,昱泉6169,,晶焱6411,,,威強電3022,,,,,晉泰6221,,威聯通7805,大江8436,威聯通7805,,世界5347,胡連6279,環球晶6488,橘子6180,,,世界5347,
金像電2368,大東1441,光隆精密-KY4581,中纖1718,玉山金2884,,,,,,,順天5525,,南光1752,,,迎廣6117,,,,,大銀微系統4576,台灣大3045,長華*8070,,,淳安6283,,,,新保9925,來頡6799,金麗-KY8429,,,,,倚強科3219,健信4502,,品安8088,,信音6126,,碩禾3691,,紅木-KY8426,,,,,,,,,,廣明6188,,,寶島科5312,,,康聯訊3672,,,,,,,鑫品生醫4170,,,,,,,,,,,,,,,,,,,,樺緯物聯7455,瑞祺電通6416,元鈦科7892,,聯德控股-KY4912,,聚積3527,,,,,,,巨路6192,,,,達興材料5234,台光電2383,瀚荃8103,欣銓3264,台達電2308,,,,,,,,,,和淞6826,中菲5403,瑞軒2489,,雲品2748,崇越5434,,,,,,IET-KY4971,,,,家登3680,,,,,新保9925,鉅明8928,,普萊德6263,,,,地心引力3629,,瑞穎8083,,,台新新光金2887,,,,,光隆8916,,漢磊3707,胡連6279,漢磊3707,,耕興6146,元大期6023,朋程8255,健喬4114,,,家登3680,
揚博2493,力麗1444,汎德永業2247,亞諾法4133,群益期6024,,,,,,,國產2504,,中化生1762,,,虹堡5258,,,,,亞崴1530,美律2439,冠西電2466,,,尖點8021,,,,美吉吉-KY8466,嘉晶3016,三能-KY6671,,,,,雙鴻3324,寶緯4558,,普誠6129,,富致6642,,立碁8111,,天品6199,,,,,,,,,,捷波6161,,,濟生4111,,,台嘉碩3221,,,,,,,圓點奈米6797,,,,,,,,,,,,,,,,,,,,全科3209,鑫創電子6680,協禧3071,,希華2484,,全宇昕6651,,,,,,,柏騰3518,,,,台玻1802,柏承6141,康控-KY4943,逸昌3567,昇陽半導體8028,,,,,,,,,,敦吉2459,凱衛5201,立軒6222,,大略-KY4804,伸興1558,,,,,,聯傑3094,,,,耕興6146,,,,,佳世達2352,維熹3501,,鴻海2317,,,,旺宏2337,,泓格3577,,,中鼎9933,,,,,新麥1580,,精測6510,茂達6138,精測6510,,世禾3551,茂達6138,世界5347,安勤3479,,,耕興6146,
健和興3003,南緯1467,金興精密7732,花仙子1730,中信金2891,,,,,,,根基2546,,金萬林-創6645,,,精英2331,,,,,駐龍4572,遠傳4904,菱生2369,,,東科-KY5225,,,,鼎基6585,景碩3189,三集瑞-KY6862,,,,,熱映3373,進典6843,,合晶6182,,海韻電6203,,臺龍6246,,綠河-KY8444,,,,,,,,,,勁豐6577,,,加捷生醫4109,,,新復興4909,,,,,,,海昌生技7814,,,,,,,,,,,,,,,,,,,,德晉3466,博來科技7562,廣寰科3287,,濱川1569,,安格6684,,,,,,,永道-KY6863,,,,碩禾3691,易華電6552,廣宇2328,威剛3260,康舒6282,,,,,,,,,,蔚華科3055,創泓科技7714,云光3633,,華航2610,杏昌1788,,,,,,晶心科6533,,,,世紀*5314,,,,,易飛網2734,鼎天3306,,威強電3022,,,,,,鴻海2317,,,鴻準2354,,,,,中菲行5609,,東捷8064,優群3217,東捷8064,,M316643,亞泰4974,安國8054,原相3227,,,世紀*5314,
立隆電2472,冠星-KY4439,六暉-KY2115,永信3705,中再保2851,,,,,,,夆典3052,,佳醫4104,,,昆盈2365,,,,,力達-KY4552,詠業6792,矽力*-KY6415,,,互盛電2433,,,,百和興業-KY8404,通嘉3588,百和興業-KY8404,,,,,福華8085,方土霖4527,,捷創科技7810,,英濟3294,,智晶5245,,耀億4430,,,,,,,,,,安力-KY5223,,,霈方6574,,,聯亞3081,,,,,,,康聯生醫6665,,,,,,,,,,,,,,,,,,,,鼎天3306,碩豐6536,力致3483,,松上6156,,譜瑞-KY4966,,,,,,,昇貿3305,,,,聯合再生3576,聯茂6213,嘉澤3533,嘉晶3016,光寶科2301,,,,,,,,,,騏億鑫7848,勤崴國際6516,達輝光電6434,,晶華2707,聯電2303,,,,,,凌陽2401,,,,力旺3529,,,,,同亨5490,志旭8067,,新鼎5209,,,,,,威強電3022,,,國產2504,,,,,力麒5512,,北基8927,聚和6509,北基8927,,世紀*5314,崑鼎6803,家登3680,滿心2916,,,力旺3529,
建通2460,遠東新1402,和泰車2207,景岳3164,華南金2880,,,,,,,京城2524,,全宇生技-KY4148,,,倫飛2364,,,,,強信-KY4560,統新6426,事欣科4916,,,可成2474,,,,裕融甲特9941A,偉詮電2436,泰鼎-KY4927,,,,,佶優5452,台興3426,,久昌6720,,立誠6597,,欣普羅6560,,沈氏8921,,,,,,,,,,協益5356,,,生泰1777,,,德勝8048,,,,,,,和迅6986,,,,,,,,,,,,,,,,,,,,易通展6241,,西勝3625,,鉅祥2476,,笙泉3122,,,,,,,和椿6215,,,,元晶6443,台燿6274,紘通5271,宏捷科8086,立凱-KY5227,,,,,,,,,,新鼎5209,大塚3570,旭暉應材6698,,神腦2450,燦星旅2719,,,,,,圓裕6835,,,,中光電5371,,,,,輔信2405,精華1565,,盟立2464,,,,,,福裕4513,,,國泰金2882,,,,,廣明6188,,亞昕5213,台燿6274,亞昕5213,,竑騰7751,台燿6274,金麗科3228,白紗科8401,,,中光電5371,
興勤2428,宏遠1460,威力暘-創6988,永記1726,台新新光金2887,,,,,,,全坤建2509,,葡萄王1707,,,友通2397,,,,,伸興1558,東訊2321,華泰2329,,,聚賢研發-創7631,,,,立益1443,訊芯-KY6451,AMAX-KY6933,,,,,星雲8047,大億金茂8107,,笙科5272,,元山6275,,李洲3066,,慕康生醫5398,,,,,,,,,,寶德3349,,,醫影6637,,,光環3234,,,,,,,仁新6696,,,,,,,,,,,,,,,,,,,,宇智6470,,銘異3060,,泰詠6266,,研通6229,,,,,,,宜特3289,,,,,毅嘉2402,湧德3689,合晶6182,安鈦克6276,,,,,,,,,,光焱科技7728,海柏特6884,聯詠3034,,網家8044,昭輝1339,,,,,,同致3552,,,,高技5439,,,,,精聯3652,弘煜科6482,,東元1504,,,,,,盟立2464,,,台達電2308,,,,,順達3211,,德微3675,普萊德6263,德微3675,,力旺3529,普萊德6263,世紀*5314,聯合4129,,,高技5439,
鉅祥2476,大統新創1470,永新-KY4557,中碳1723,台新新光戊特二2887F,,,,,,,皇鼎5533,,生達1720,,,圓剛2417,,,,,建德工業6606,全新2455,台達電2308,,,亞弘電6201,,,,和潤企業乙特6592B,凌航3135,泰福-KY6541,,,,,東研信超6840,宏佳騰1599,,譜瑞-KY4966,,正淩8147,,晶采8049,,藝舍-KY2724,,,,,,,,,,鑫創電子6680,,,聿新科4161,,,環天科3499,,,,,,,優你康4150,,,,,,,,,,,,,,,,,,,,神準3558,,誠研3494,,錩新2415,,矽統2363,,,,,,,意騰-KY7749,,,,,同泰3321,映興3597,IET-KY4971,來穎7816,,,,,,,,,,鴻勁7769,仁大資訊7767,元創精密3685,,富邦媒8454,華立3010,,,,,,威盛2388,,,,萬潤6187,,,,,晶睿3454,雋揚1439,,台達電2308,,,,,,昆盈2365,,,巨路6192,,,,,數字5287,,艾訊3088,佳邦6284,艾訊3088,,萬潤6187,崇友4506,亞信3169,寶雅5904,,,萬潤6187,
